,summary
33,"Are you passionate about solving challenging problems?
Do you thrive being a critical part of an elite team of like-minded people?
How would you like for your next career move to take you to the next level?
If any of this sounds appealing, look no further.
In this role you will:
Design, build, and maintain streaming data/ETL pipeline using languages like Python or Java.
Maintain, enhance, and optimize the data pipeline for scalability and reliability
Utilize open source and COTS Artificial Intelligence/Machine Learning capabilities
Work with data-coders, modelers, and front-end developers to ensure coordination and collaboration
Be a Versatile back-end developer with experience extracting, transforming and loading (ETL) structured and unstructured data
Basic Qualifications:
2+ years of experience in data processing back-end development roles
Conceptual understanding of – and/or prior experiences related to – relational databases & query languages
Strong coding skills in at least one language: Python or Java
Experience with various data formats such as XML and JSON
Excellent oral and written communication skills and an ability to translate complicated technical issues for a non-technical audience
Desired Skills:
Experience in data modeling, including conceptual, logical, physical, warehouse, and data mart models.
Conceptual understanding of NoSQL technologies including Hadoop, the map-reduce algorithm, HDFS, Hive, Pig, Accumulo, Apache ElasticSearch and data flow automation techniques such as Apache Camel or Nifi.
Experience participating in Agile/SCRUM projects
Experience with R, Spark, and Tensorflow
Experience with statistical modeling and elastic search indexing
Security Clearance:
Candidates must possess a TS/SCI level security clearance
So what does Novetta do?
We focus on three core areas: Cyber, Entity, and Multi-Int Analytics. Our products are focused on processing and analyzing vast amounts of data in these core areas. Our services are focused on helping our customers move from complexity to clarity. At Novetta, we bridge the gap between what our customers think they can do and what they aspire to achieve.
Our culture is shaped by a commitment to our Core Values:
Integrity: We hold ourselves accountable to the highest standards of integrity and ethics.
Customer Mission Success: Customer mission success drives our daily efforts—we strive always to exceed customer expectations and focus on mission success beyond contractual commitments.
Employee Focus: We value our employees and demonstrate our commitment to them by providing clear communications, outstanding benefits, career development, and opportunities to work on problems and technical challenges of national significance.
Innovation: We believe that innovation is critical to our success – that discovering new and more effective ways to achieve customer mission success is what makes us a great company.
Get a referral bonus for the great people you know! With our amazing referral program, you could be eligible to win outstanding rewards for referring qualified new hires to Novetta.

Novetta is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected veteran status, age, or any other characteristic protected by law."
34,"Data Scientist Outcome Analytics POSITION SUMMARY Conducts analyses of complex and varied healthcare and other data to demonstrate the value of new technology implementations and process improvements to create business insights that drive decision-making. Uses descriptive and inferential statistics, data mining, predictive modeling and machine learning techniques to develop insights that will optimize cost and patient outcomes. The successful candidate should have a desire to learn and innovate and be comfortable in a fast-paced environment that works in virtual teams. He or she will be motivated to use technology and data to create insights and solutions that solve re al business problems and answers important questions in the health care industry. You will bring expertise in how to set up advanced analytical tools. You have deep understanding of different structured and unstructured data storages. You are very comfortable with tools such as R, SPSS and SQL programming. A strong understanding of statistics is crucial.
Qualifications

TECHNICAL SKILLS (Required) Fundamental Analytical Skills - Analyzing data, exploratory/descriptive analysis, statistics, data preparation Advanced skills Strong working knowledge of data mining algorithms including predictive modeling, multivariate modeling, decision -trees, probability networks, cluster ing, regression, etc. and in-database analytics. Proficiency with analytic tools and programming (SQL, Advance excel and SPSS/SAS/R)

EDUCATION/EXPERIENCE (Required) 3+ years of healthcare analytics experience preferred 5+ years of applied research and statistical analysis Background in statistics/probability, stochastic processes, econometric modeling, operations research.

3+ years of healthcare analytics experience preferred
5+ years of applied research and statistical analysis
Background in statistics/probability, stochastic processes, econometric modeling, operations research. MS/PhD preferred
Job
: Information Technology
Organization
: Adventist IT
Primary Location
: US-FL-Altamonte Springs
Schedule
: Full-time
Shift
: Day
Job Level
: Staff / Associate
Education Level
: Bachelor's Degree
Travel
: No
Job Posting
: Mar 1, 2018, 1:21:39 PM"
35,"ASSIGNMENT DESCRIPTION: Data Scientists develop and apply methods to identify, collect, process, and analyze large volumes of data to build and enhance products, processes, and systems. They conduct data mining and retrieval, and apply statistical and mathematical analyses to identify trends, solve analytical problems, optimize performance, and gather intelligence. They visualize information using a range of tools (e.g., GIS, R), develop scripts and algorithms, create explanatory and predictive models, and conduct comparative analyses to address complex problems.Pay, Benefits, & Work SchedulePERMANENT CHANGE IN STATION:PCS expenses are not authorized.Additional Position InfoADDITIONAL INFORMATION:NGA is seeking data professionals, academics, and researchers to join its Explorer Program. The Explorer Program is a key aspect of the Agency's data-enabled workforce initiative, which focuses on empowering NGA employees with the knowledge, skills, and tools to solve contemporary and future data-related challenges in the intelligence community. Data Scientists in the Explorer Program are responsible for leading the development and implementation of solutions to these challenges.Data Scientists in the Explorer Program will be proven innovation leaders, coalition builders, problem solvers, and effective communicators. They will possess the ability to think and act strategically, operate in a dynamic and sometimes ambiguous environment, and rapidly deliver impactful results. They will leverage their strong interpersonal skills to effectively communicate with individuals inside and outside the Agency. They have experience working on geographically distributed teams.As a Data Scientist in the Explorer Program you would work with office and directorate level data professionals on projects that solve their data-related problems. These projects are prioritized to achieve the Agency's mission, and your solutions will scale throughout the Agency. You would report to the Chief Data Scientist, who leads the Explorer Program.Specific duties will include, but are not limited to, the following:- Working as a part of a team of geographically distributed data professionals, including data engineers, data analysts, data stewards, and fellow data scientists.- Creating, selecting, and applying methods to collect, process, and analyze large volumes of data.- Designing, building, and delivering solutions to the Agency's complex data challenges.- Communicating with project stakeholders regarding your efforts and how they achieve the Agency's mission.- Serving as a liaison to the academic, industry, and research communities, such as through presenting and publishing your work at conferences and in top-tier publications, respectively.This is a Term Appointment within NGA Not To Exceed 5 years. This position may be noncompetitively converted into a permanent full time position at the same or lower pay band and work role for which initially hired. The Term employee must have completed at least 5 years of continuous service with at least a ""successful"" overall rating to be eligible for conversion.Mandatory Qualification ReqsMANDATORY QUALIFICATION CRITERIA:For this particular job, applicants must meet all competencies reflected under the Mandatory Qualification Criteria to include education (if required). Online applications must demonstrate qualification by providing specific examples and associated results, in response to the announcement's mandatory criteria specified in this vacancy announcement:1.) Proficiency in at least one of the following languages: Python, R, Java, or a similar language, as applied to programming access and manipulation of data;2.) Managed and delivered solutions to problems (e.g. cleaning, filtering, and transforming data, as well as enriching data, especially by way of database joins or table lookups);3.) Designed and delivered enterprise-scale solutions that enable access to data;4.) Has used analytic techniques such as classification, regression, similarity matching, clustering, co-occurrence grouping, profiling, link prediction, data reduction, and causal modelling, as well as experience developing and deploying automated processes;5.) Demonstrated expertise with visualization techniques and software tools, such as Tableau and matplotlib;6.) Proven ability to communicate ongoing work and findings to leadership and others through written, visual, and spoken reports and briefings.Although not required, it is the recommendation of the hiring office that applicants explicitly address in their cover letter how they meet each of the mandatory qualifications listed.EDUCATION REQUIREMENT:A. Education: Bachelor's degree in Applied Mathematics, Computer Science, Data Science, Geographic Information Science, Informatics and Computing, Information Science, Operations Research, Statistics, or a related discipline. -OR-B. Combination of Education and Experience: A minimum of 30 semester (45 quarter) hours of coursework in any area listed in option A plus experience that demonstrates the ability to successfully perform the duties associated with this work. As a rule, every 30 semester (45 quarter) hours of college work is equivalent to one year of experience. Candidates should show that their combination of education and experience totals 4 years. -OR-C. Experience: Six years of experience in working with large or complex data sets, including performing data mining, running complex queries, or performing tasks in related areas of work.Highly Desired SkillsDESIRABLE QUALIFICATION CRITERIA:In addition to the mandatory qualifications, experience in the following is desired:1.) Proven innovator and strategic problem solver;2.) Ability to create and thrive in emerging and ambiguous environments;3.) Be an effective collaborator in high performance, geographically distributed team environments;4.) Evidence of impactful contributions to broader academic, industry, and research communities, such as code, presentations, and publications;5.) Proven experience in machine learning and/or artificial intelligence;6.) Extensive experience with Machine Learning and/or Artificial Intelligence (AI).How To Apply - ExternalApplication submission involves applying using the Intelligence Community's Applicant Gateway on-line application process.How Will I Be Evaluated?APPLICANT EVALUATION PROCESS:Applicants will be evaluated for this job opportunity in three stages:1) All applicants will be evaluated using the Mandatory Qualification Criteria,2) Qualified applicants will then be evaluated by an expert or panel of experts using a combination of qualification criteria to determine the best-qualified candidates,3) Best-qualified applicants may then be further evaluated through an interview process.ONLY ELECTRONIC SUBMISSIONS WILL BE ACCEPTED.Applicants are not required to submit a cover letter. The entire cover letter cannot exceed the specified limits provided in the Cover Letter field (3,000 characters). Pages exceeding this limit will not be considered. The cover letter is recommended but is not required for employment consideration with the National Geospatial-Intelligence Agency. Applicants should place their narrative information in the Cover Letter / Other Professional Details field.Applicants are encouraged to carefully review the Assignment Description, Additional Information Provided By the Selecting Official, and the Qualification Requirements; and then construct their resumes to highlight their most relevant and significant experience and education for this job opportunity. This description should include examples that detail the level and complexity of the performed work. Applicants are encouraged to provide any education information referenced in the announcement. If education is listed as a mandatory requirement, only degrees obtained from an institution accredited by an accrediting organization recognized by the Secretary, US Department of Education will be accepted.In accordance with section 9902(h) of title 5, United States Code, annuitants reemployed in the Department of Defense shall receive full annuity and salary upon appointment. They shall not be eligible for retirement contributions, participation in the Thrift Savings Plan, or a supplemental or re-determined annuity for the reemployment period. Discontinued service retirement annuitants (i.e., retired under section 8336(d)(1) or 8414(b)(1)(A) of title 5, United States Code) appointed to the Department of Defense may elect to be subject to retirement provisions of the new appointment as appropriate. (See DoD Instruction 1400.25, Volume 300, at http://www.dtic.mil/whs/directives.)All candidates will be considered without regard to race, color, religion, sex, national origin, age, marital status, disability, or sexual orientation.NGA provides reasonable accommodations to applicants with disabilities. Applications will only be accepted online. The decision on granting reasonable accommodation will be on a case-by-case basis.DCIPS DisclaimerNGA utilizes all processes and procedures of the Defense Civilian Intelligence Personnel System (DCIPS). Non-executive NGA employees are assigned to five distinct pay bands based on the type and scope of work performed. The employee's base salary is established within their assigned pay band based on their unique qualifications. A performance pay process is conducted each year to determine a potential base pay salary increase and/or bonus. An employee's annual performance evaluation is a key factor in the performance pay process. Employees on term or temporary appointments are not eligible to apply for internal assignment opportunity notices.This position is a DCIPS position in the Excepted Service under 10 U.S.C. 1601. DoD Components with DCIPS positions apply Veterans' Preference to preference eligible candidates as defined by Section 2108 of Title 5 USC, in accordance with the procedures provided in DoD Instruction 1400.25, Volume 2005, DCIPS Employment and Placement. If you are an external applicant claiming veterans' preference, as defined by Section 2108 of Title 5 U.S.C., you must self-identify your eligibility in your application.This position is funded by the National Intelligence Program (NIP).Additional Job RequirementsYou must be able to obtain and retain a Top Secret security clearance with access to Sensitive Compartmented Information. In addition, you are subject to a Counterintelligence Polygraph examination in order to maintain access to Top Secret information. All employees are subject to a periodic examination on a random basis in order to determine continued eligibility. Refusal to take the examination may result in denial of access to Top Secret information, SAP, and/or unescorted access to SCIFs.Employees with SCI access and who are under NGA cognizance are required to submit a Security Financial Disclosure Report, SF-714, on an annual basis in order to determine continued eligibility. Failure to comply may negatively impact continued access to Top Secret information, Information Systems, SAP, and/or unescorted access to SCIFs.As a condition of employment at NGA, persons being considered for employment must meet NGA fitness for employment standards.- U.S. Citizenship Required- Security Clearance (Top Secret/Sensitive Compartmented Information)- Polygraph Test Required- Position Subject to Drug Testing- Two Year Probationary Period- Direct Deposit RequiredPay is only part of the compensation you will earn working for the Federal Government. We offer a broad array of benefits programs and family friendly flexibilities to meet the needs of you and your family. For more information on the array of benefits programs, please visit https://www.intelligencecareers.gov/nga/ngabenefits.htmJob Type: Full-time"
36,"In this role you will serve as analytics liaison between business and technical teams to drive results and enhanced value though improved delivery of impactful analytic insights, improved data visualization and statistical analyses as part of an Enterprise-wide initiative. You will work within a high-performing analytics team and use new technologies to develop and deliver solution-oriented products that drive innovation in our business. The ideal candidate will have:Business acumen and experience to generate customized, actionable insights in a data-driven and deadline-oriented environment;Strong computer science and quantitative skills to extract maximum value from CVS Health’s data assets;Hands-on business experience with statistical programming (SAS, R, Python) as well as advanced data science concepts (e.g., regression modeling, time series forecasting, classification, data clustering, time series forecasting, advanced machine learning techniques).Customer centric analytics and insights to support business teams in designing interventions to help our patients increase medication adherence and persistence behaviors.A day in the life of this position involves:Collaborating with other highly skilled analytics colleagues within Retail Pharmacy Enterprise Analytics team to derive business insights from our data assets;Rapidly developing a deep understanding of CVS data and processes across multiple lines of business as well as serving as SME and data steward for others in the application and use of our data;Developing predictive models and machine learning algorithms to facilitate business growth;Performing ad-hoc analyses by innovatively aggregating patient- and script-level data to unlock insights;Structuring and executing against analytic road-maps to meet both short- and long-term needs of our business stakeholders;Diligently addressing obstacles as they appear;Demonstrating curiosity to learn about enterprise initiatives that include data and business intelligence solutions;Supporting the development and maintenance of data and analytics process documentation.#analytictalent* Required QualificationsMinimum of 5 years of experience delivering growth-oriented, quantitative solutions in retail or healthcare environmentsMinimum of five years of demonstrated post-graduate Machine Learning and Data Science experienceExpert knowledge of coding in statistical packages (like SAS, R, and Python) with strong quantitative skills, including relevant experience in logistic regression, cluster analysis, time series analysis, inferential statistics, and experimental designProficiency in processing large datasets (measured in hundreds of millions or billions of records) using data mining programs like SQLExperience working with data visualization platforms (e.g., Tableau and Microstrategy)Relevant domain knowledge from retail and/or healthcare industriesBuilding and facilitating presentations to various audiences: technical, non-technical and senior leadersExperience with Microsoft Office products - Excel, Word, PowerPoint.* Preferred QualificationsLeadership experience of large-scale analytics projectsDemonstrated competencies such as teamwork, creative problem solving, and flexibilityA strong curiosity to continuously learn data science techniques and toolsAbility to work within a climate of ambiguityAbility to collaborate with colleagues in multiple offices across different time zonesStrong personal organizational skillsExcellent relationship management, strong team building, and the ability to work across business units within a complex organization.* EducationBA/BS in Mathematics/Statistics, Economics (or other quantitative disciplines); Master’s degree preferred.Job Type: Full-timeSalary: $80,000.00 to $125,000.00 /yearRequired experience:Machine Learning paid work: 5 yearsRequired education:Bachelor'sJob Location:Northbrook, IL"
37,"Job Description:
Job Description
Bank of America’s Alternative Modeling Group is looking for a Quantitative Financial Analyst. The group’s work centers on asset quality and credit loss forecasting, in both consumer and commercial products. The position will involve model building and data curation. Although work in the group is typically collaborative, researchers are often given control over substantial projects: all researchers are expected to be intellectually independent self-starters.
Essential:
Facility with mathematics (linear algebra, probability and statistics, differential equations) and computer programming
Good oral and written communication skills
Highly Desirable:
Ability at the level of a graduate degree in mathematics, a quantitative science, engineering, or quantitative finance
Familiarity with SAS, R, a scripting language, and SQL
Desirable:
Research experience in credit risk
Shift:
1st shift (United States of America)
Hours Per Week:
40"
38,"23andMe is seeking an associate scientist to help develop our survey research portfolio.

This person will help to maintain high-quality data collection by conducting literature reviews, identifying validated research instruments, developing novel data collection tools, and coding these tools for web-based deployment. Accordingly, this individual must possess a strong grasp of research methods, be able to evaluate and synthesize the scientific literature, and be able to work in cross-functional teams. Facility with coding and software release processes is a plus. This is an exciting opportunity to learn about the personal genomics industry while contributing to ground-breaking genetics research.

Who we are

The 23andMe Research and Therapeutics teams work together to turn large amounts of genetic and phenotypic data into discoveries that improve health. In addition to the genetic data generated for each participant as a customer, we also collect data about their medical history, traits, and behaviors, mostly through online surveys. The phenotype data are collected from the cohort as a whole, and as part of more targeted studies.

What you'll do


Carry out comprehensive literature reviews on a wide range of topics
Identify validated survey research instruments
Develop new phenotypic data collection tools
Code research study materials for web-based deployment
Carry out rigorous manual testing of our web-based research product

What you'll bring


Masters in Public Health, Epidemiology, Biostatistics, Social Science, or related
Strong computing skills
Demonstrated ability to communicate successfully

About Us

23andMe, Inc. is the leading consumer genetics and research company. Our mission is to help people access, understand and benefit from the human genome. The company was named by MIT Technology Review to its “50 Smartest Companies, 2017” list, and named one of Fast Company’s “25 Brands That Matter Now, 2017”. 23andMe has 5 million customers worldwide, with ~85 percent of customers consented to participate in research. 23andMe is located in Mountain View, CA. More information is available at www.23andMe.com ( http://www.23andme.com/ ).

At 23andMe we value a diverse, inclusive work force and we provide equal employment opportunity for all applicants and employees. All qualified applicants for employment will be considered without regard to an individual’s race, color, sex, gender identity, gender expression, religion, age, national origin or ancestry, citizenship, physical or mental disability, medical condition, family care status, marital status, domestic partner status, sexual orientation, genetic information, military or veteran status, or any other basis protected by federal, state or local laws. 23andMe will reasonably accommodate qualified individuals with disabilities to the extent required by applicable law.

Please note: 23andMe does not accept agency resumes and we are not responsible for any fees related to unsolicited resumes. Thank you."
39,"Job Description

GoHealth is looking for Data Scientists who will support GoHealth's marketing, business operations, product engineering, and executive teams using knowledge discovered from the analysis of GoHealth's data. The Data Scientist is expected to work with the various teams and use data sets to find opportunities for improving GoHealth's software products and business processes. Qualifications

Live the GoHealth Culture and ensure it is represented within the team.
Develop data and predictive models using GoHealth's data in solving business problems, and in improving GoHealth's software products and business processes.
Collaborate with business stakeholders, business operations, and product engineering teams in analyzing business problems, in building and testing solutions and data models, and in implementing the algorithms and results of the models.
Work closely with the Data Engineering team as the team designs the schemas and data pipelines needed for downstream use by regression models and jobs.
Author formal and informal reports that effectively communicate the models and the results to both technical and non-technical audiences.
Qualifications
Master's or PhD in Statistics, Mathematics, Computer Science, Economics, or related quantitative field.
Strong analytical and problem solving ability with strong attention to detail and accuracy.
Knowledge of and experience in using machine learning techniques such as regression and classification analyses, clustering, neural networks, etc.
Theoretical and practical knowledge of various techniques and statistical algorithms.
Proficient in R or Python in manipulating data and drawing insights from data sets.
 Familiar with relational databases and SQL.
Ability to handle multiple tasks and adapt to evolving business and technical environments.
Self-starter with the ability to work independently, take initiative, and learn new skills.
Excellent written and oral communication skills, with the ability to articulate complex processes to individuals of varying technical abilities
Knowledge of version control systems using Git, Bitbucket, SVN, or Team Foundation.
Experience in software engineering practices is preferred.
Additional Information

GoHealth offers a full benefits package, an open vacation policy, a very casual dress code and a fun, interactive working environment."
40,"Provide data analytics to the Mortgage, Consumer and Deposit lines of business, evaluating credit risk across the full lifecycle of our products. Primary focus areas include portfolio, scenario, and strategic analysis, portfolio acquisitions and divestitures, and ad-hoc Executive analytics. Other focus areas include marketing campaign response, evaluating success of strategic initiatives, account acquisition and management, delinquency and default, and overall portfolio asset quality. Utilize internal and external data to drive decision-making and identify opportunities. Monitor trends in the industry. Focus on getting the most out of data and exploring new areas of analysis.


Qualifications

Basic Qualifications: College graduate with 3 – 6 years experience, preferably in Finance, Mortgage/Consumer lending, and/or Economic analysis. Hands-on experience working with large databases and a high level of comfort with Microsoft Excel. Analytic programming experience is required (SAS, SQL, etc). Proven ability to perform and deliver under very demanding and/or ambiguous situations. Attention to detail and a sense of ownership for deliverables. Strong verbal and written communication skills. Demonstrated problem solving skills. Moderate reporting and automation experience, preferably in a banking environment. Comfort with forecasting and cash-flow modeling a plus. Team player. Should be able to perform well in a cross functional team set up.


Equal Opportunity Employer: SunTrust supports a diverse workforce and is a Drug Testing and Equal Opportunity Employer. SunTrust does not discriminate against individuals on the basis of race, creed, color, gender, religion, national originTo review the EEO Poster, copy and paste the following link into your browser: http://www1.eeoc.gov/employers/upload/eeoc_self_print_poster.pdf http://www.dol.gov/ofccp/regs/compliance/posters/pdf/OFCCP_EEO_Supplement_Final_JRF_QA_508c.pdf"
41,"Job Overview

We are looking for a Data Scientist who will support our product, sales, leadership, marketing, ERM, and other teams with insights gained from analyzing required internal and external credit union and competitive industry data and information. The ideal candidate is adept at using large and small data sets to find opportunities for product, process, income, and strategy optimization and using models to test the effectiveness of different courses of action. They must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. They must have a proven ability to drive business results with their data-based insights. They must be comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes.

Responsibilities for Data Scientist

Work with stakeholders throughout the organization to identify opportunities for leveraging data to drive business solutions.
Mine and analyze data from databases to drive optimization and improvement of product development, marketing techniques and business strategies.
Assess the effectiveness and accuracy of new data sources and data gathering techniques.
Develop custom data models and algorithms to apply to data sets.
Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes.
Develop company A/B testing framework and test model quality.
Coordinate with different functional teams to implement models and monitor outcomes.
Develop processes and tools to monitor and analyze model performance and data accuracy.
Qualifications for Data Scientist

We’re looking for someone with 5-7 years of experience manipulating data sets and building statistical models, has a Master’s in Statistics, Mathematics, Computer Science or another quantitative field, and is familiar with the following software/tools:
Coding knowledge and experience with several languages: C, C++, Java, etc...
JavaScript
Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc.
Experience querying databases and using statistical computer languages: R, Python, SQL, or similar databases
Experience using web services: Redshift, S3, Spark, Digital Ocean, or similar web services
Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, or neural networks
Experience analyzing data from 3rd party providers: Google Analytics, Site Catalyst, Core metrics, Adwords, Crimson Hexagon, Facebook Insights, etc.
Experience with distributed data/computing tools: Map/Reduce, Hadoop, Hive, Spark, Gurobi, MySQL, etc.
Experience visualizing/presenting data for stakeholders using: Periscope, Business Objects, D3, ggplot, etc.
Additional Skills:

Strong problem solving skills with an emphasis on product development.
Experience using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets.
Experience working with and creating data architectures.
Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.
Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.
Excellent written and verbal communication skills for coordinating across teams.
A drive to learn and master new technologies and techniques.
Ability to work effectively with teams when required

Other add ins

Financial Industry experience a plus

Ability to use Microsoft Windows and Office tools

Familiarity with Credit Union Core (i.e. Symitar, DNA, etc...) systems a plus
Required Skills

Required Experience"
42,"Data ScientistHouston , TX (One project in FL)Long Term ContractQualificationsA dvanced degree in Applied Math, Physics, Petroleum Engineering, Geophysics or another quantitative fieldA minimum of 10 years of data science related work, with at least 5 years of subsurface modeling in O&G; industry.Demonstrated experience in bringing complex and innovative data science products from ideation to productionAbility to use scientific understanding of the physical world to constrain a problem space and arrive at optimal solutions quicklyExpertise in geomodelling grids and geo-statistics methods with experience interpreting and analyzing seismic, well-logs, and core samples dataExpertise in advanced data analytics, machine learning techniques, and first-principles rule-based analysis for creating high-resolution reservoir models. In depth understanding of well-established supervised and unsupervised learning techniques, model fitting, model evaluation, and expert level proficiency in using statistical analysis and machine learning software packages.Preferred QualificationsPhD with industrial experience in O&G; vertical doing sub-surface and reservoir modelingExperience working with data and business analysts and software developers for developing software-as-a-service solution.Job Type: ContractRequired experience:subsurface modeling in O&G; industry.: 8 years"
43,"Amazon Transportation Services (ATS) is looking for a motivated individual with strong numerical optimization and analytical skills to join our Planning and Forecasting team. We are looking for versatile and passionate scientists who want to develop industry leading technologies and set the bar for every other company. Your work will have a direct impact on the bottom line of our business while improving customer experience. Successful Research Scientists within this group are innovators who move fast, have an unrelenting tenacity to get things done, and are capable of breaking down complex problems and making data-driven decisions, based on a rapid test and learn approach, that best serve customers. If big data, cutting edge technologies, automation and building intelligent systems excite you, if you love to innovate and deliver results, then we want you to be on our team.


Amazon.com is a rapidly growing company. Because we are driven by faster delivery to customers, a more efficient supply chain network, and lower cost of operations, our main focus is in the development of automation, optimization and visualization tools fed by our massive amounts of available data. You will be responsible for building analytical tools that improve the economics of the fulfillment network as Amazon increases the speed and decreases the cost to deliver product to customers.


The successful candidate for this position will be capable of working with a variety of domain experts from transportation specialists to SDEs and business leaders to develop new capabilities. You are an individual with outstanding analytical abilities, excellent communication skills, and are comfortable working with technical teams and systems. You will be responsible for researching, experimenting, and analyzing strategies and mathematical models. You are comfortable prototyping solutions to validate your approaches into and after production.


Major responsibilities:

Use machine learning and mathematical modeling techniques to create scalable solutions for business problems
Analyze and extract relevant information from large amounts of both structured and unstructured data to help automate and optimize key processes
Design, experiment and evaluate highly innovative models for predictive learning
Work closely with tech teams to drive real-time model experiments, implementations and new feature creations
Work side by side with business operators to design the most innovative, relevant and effective methods to improve current workflows and lower overall costs
Establish scalable, efficient, automated processes for large scale data analyses, model development, model validation and model implementation

Basic Qualifications
Master’s degree in Operations Research, Computer Science, Engineering, Mathematics, Statistics, or a related quantitative field
2+ years of industry experience developing and implementing algorithms applied to production systems or Ph.D. research in a relevant problem space
Programming and prototyping skills (Java/C++ and R/MATLAB/Python)
Comfortable working in a fast paced, highly collaborative, dynamic work environment

Preferred Qualifications
PhD in Computer Science, Machine Learning, Operational Research, Statistics or a related quantitative field
Excellent communication skills, both written and oral with both technical and business people. Ability to speak at a level appropriate for the audience.
Statistical analysis, time series analysis, machine learning and data-modeling in a database environment
Experience deploying algorithms into business operations with validation and correction of response

Amazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation."
44,"(Menlo Park, CA - New York, NY)
Careers at Instagram
A Facebook Company
Over 800 million people use Instagram, which means jobs here offer countless ways to make an impact in a fast growing organization. Instagram was built to strengthen relationships through shared experiences. Our app has played a critical part in forming meaningful communities where people can connect with each other and share what matters most to them.
We’re looking for Data Scientists to work on our core and business products across Instagram, who are passionate about using data to help drive informed product decisions for the company. You will enjoy working with one of the richest data sets in the world, cutting edge technology, and the ability to see your insights turned into real products on a regular basis. The perfect candidate will have a background in a quantitative or technical field, will have experience working with large data sets, and will have some experience in data-driven decision making. You are focused on results, a self-starter, and have demonstrated success for using analytics to drive the understanding, growth, and success of a product.
Responsibilities
Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users interact with both our consumer and business products
Partner with Product and Engineering teams to solve problems and identify trends and opportunities
Inform, influence, support, and execute our product decisions and product launches
The Data Scientist Analytics role has work across the following four areas:
Product Operations
Forecasting and setting product team goals
Designing and evaluating experiments
Monitoring key product metrics, understanding root causes of changes in metrics
Building and analyzing dashboards and reports
Building key data sets to empower operational and exploratory analysis
Evaluating and defining metrics
Exploratory Analysis
Proposing what to build in the next roadmap
Understanding ecosystems, user behaviors, and long-term trends
Identifying new levers to help move key metrics
Building models of user behaviors for analysis or to power production systems
Product Leadership
Influencing product teams through presentation of data-based recommendations
Communicating state of business, experiment results, etc. to product teams
Spreading best practices to analytics and product teams
Data Infrastructure
Working in Hadoop and Hive primarily, sometimes MySQL, Oracle, and Vertica
Automating analyses and authoring pipelines via SQL and Python based ETL framework
Minimum Qualifications
5+ years of experience doing quantitative analysis.
BA/BS in Computer Science, Math, Physics, Engineering, Statistics or other technical field. Advanced degrees.
Experience in SQL or other programming languages.
Development experience in any scripting language (PHP, Python, Perl, etc.)
Ability to communicate the results of analyses.
Understanding of statistics (e.g., hypothesis testing, regressions).
Experience manipulating data sets through statistical software (ex. R, SAS) or other methods.
Preferred Qualifications
Experience with distributed computing (Hive/Hadoop)"
