"Markets","Sunday","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","Island","Open","Close","Diff"
"Hanapepe Park (Sunshine Markets)in Old Hanapepe Town",NA,NA,NA,NA,"X",NA,NA,"Kauai","","",""
"Hawaiian Farmers of HanaleiWaipa, Hanalei",NA,NA,"X",NA,NA,NA,NA,"Kauai","","",""
"Kapaa New Town Park (Sunshine Markets)",NA,NA,NA,"X",NA,NA,NA,"Kauai","","",""
"Kauai Community Market (Kauai Community College)",NA,NA,NA,NA,NA,NA,"X","Kauai","10:00 AM","1:00 PM","9"
"Kekaha Neighborhood Center (Sunshine Markets)",NA,NA,NA,NA,NA,NA,"X","Kauai","","",""
"Kilauea Neighborhood Center (Sunshine Markets)",NA,NA,NA,NA,"X",NA,NA,"Kauai","","",""
"Koloa Ball Park (Knudsen) (Sunshine Markets)",NA,"X",NA,NA,NA,NA,NA,"Kauai","","",""
"West Kauai Agricultural Association",NA,"X",NA,NA,NA,NA,NA,"Kauai","","",""
"Waipahu District Park (People's Open Market)",NA,NA,"X",NA,NA,NA,NA,"Oahu","8:15 AM","9:15 AM","1"
"Makeke KapoleiKapolei High School",NA,NA,NA,NA,"X",NA,NA,"Oahu","3:00 PM","6:30 PM","3.5"
"The Maui's Fresh Produce Farmer's Market at Queen Ka'ahumanu Shopping Center ",NA,NA,"X","X",NA,"X",NA,"Maui","7:00 AM","4:00 PM","3"
"Pokai Bay Beach Park (People's Open Market)",NA,NA,NA,NA,NA,"X",NA,"Oahu","11:00 AM","11:45 AM","0.75"
"Dole Cannery",NA,NA,NA,NA,NA,"X",NA,"Oahu","10:00 AM","5:00 PM","5"
"Kalaheo Neighborhood Center (Sunshine Markets)",NA,NA,"X",NA,NA,NA,NA,"Kauai","","",""
"Makawao Farmers' Market",NA,NA,NA,"X",NA,NA,NA,"Maui","","",""
"Kukui Grove Shopping Center",NA,"X",NA,NA,NA,NA,NA,"Kauai","","",""
"Farmers' Market of Maui-Kihei ",NA,"X","X","X","X","X",NA,"Maui","8:00 AM","4:00 PM","4"
"Alii Garden Market Place","X",NA,NA,"X","X","X","X","Hawaii","9:00 AM","5:00 PM","4"
"Maui Mall Farmers' Market & Craft Fair",NA,NA,"X","X",NA,"X",NA,"Maui","7:00 AM","4:00 PM","3"
"Benjamin Parker Elementary School",NA,NA,NA,NA,NA,NA,"X",NA,"8:00 AM","2:00 PM","6"
"Hawaii Kai Farmers' Market at Kaiser High School",NA,NA,NA,NA,NA,NA,"X","Oahu","9:00 AM","1:00 PM","8"
"Vidinha Stadium (Sunshine Markets)",NA,NA,NA,NA,NA,"X",NA,"Kauai","","",""
"Honolulu Farmers' Market at Neal S. Blaisdell Center",NA,NA,NA,"X",NA,NA,NA,"Oahu","4:00 PM","7:00 PM","3"
"Kaumualii Street (People's Open Market)",NA,NA,NA,NA,NA,NA,"X","Oahu","8:15 AM","9:30 AM","1.25"
"Akebono Farmers Market","X",NA,NA,NA,NA,NA,NA,"Hawaii","7:00 AM","2:00 PM","5"
"Royal Kunia Park-n-Ride (People's Open Market)","X",NA,NA,NA,NA,NA,NA,"Oahu","9:30 AM","11:00 AM","1.5"
"The South Kona Green Market at Amy Greenwell Ethnobotanical Garden field in ","X",NA,NA,NA,NA,NA,"X","Hawaii","9:00 AM","2:00 PM","7"
"North Shore Country Market at Sunset Beach Elementary School",NA,NA,NA,NA,NA,NA,"X","Oahu","8:00 AM","2:00 PM","6"
"Hale'iwa Farmers' Market ","X",NA,NA,NA,NA,NA,NA,"Oahu","9:00 AM","1:00 PM","8"
"Ono Organic Farms Farmers' Market in Hana","X","X","X","X","X","X","X","Maui","10:00 AM","6:00 PM","4"
"Fort Street near Wilcox Park",NA,NA,"X",NA,NA,"X",NA,"Oahu","8:00 AM","2:00 PM","6"
"Salt Lake Municipal Lot  (People's Open Market)",NA,NA,NA,NA,NA,NA,"X","Oahu","11:15 AM","12:00 PM","0.75"
"Queen's Medical Center",NA,NA,NA,"X",NA,NA,NA,"Oahu","10:00 AM","2:00 PM","8"
"City Hall Parking Lot Deck (People's Open Market)",NA,"X",NA,NA,NA,NA,NA,"","11:45 AM","12:30 PM","0.75"
"Waikiki Farmers' Market",NA,NA,"X",NA,NA,"X",NA,"Oahu","7:00 AM","1:00 PM","6"
"Ewa Beach Community Park (People's Open Market)",NA,NA,NA,NA,NA,"X",NA,"Oahu","9:00 AM","10:00 AM","1"
"Kaneohe District Park (People's Open Market)",NA,NA,NA,NA,"X",NA,NA,"Oahu","10:45 AM","11:45 AM","1"
"Hawaii Kai Park-n-Ride (People's Open Market)",NA,NA,NA,NA,NA,NA,"X","Oahu","1:00 PM","2:00 PM","1"
"Davies Pacific Center",NA,NA,"X",NA,NA,NA,NA,"Oahu","10:00 AM","1:00 PM","9"
"Maui Swap Meet at Maui Community College ",NA,NA,NA,NA,NA,NA,"X","Maui","6:00 AM","1:00 PM","5"
"Kaka'ako Makai Community Cultural Marketplace",NA,NA,NA,NA,NA,"X",NA,"Oahu","4:30 PM","8:00 PM","3.5"
"Kailua District Park (People's Open Market)",NA,NA,NA,NA,"X",NA,NA,"Oahu","9:00 AM","10:00 AM","1"
"First Insurance Center",NA,NA,NA,"X",NA,NA,NA,"Oahu","10:00 AM","1:00 PM","9"
"Kalihi Valley District Park (People's Open Market)",NA,NA,NA,NA,NA,NA,"X","Oahu","10:00 AM","10:45 AM","0.75"
"Waianae Farmers' Market (sponsored by Waianae Coast Comprehensive Center)",NA,NA,NA,NA,NA,NA,"X","Oahu","8:30 AM","11:30 AM","3"
"Mahiku Farmers' Market at Momilani Community Center",NA,NA,NA,NA,NA,"X",NA,"Oahu","3:00 PM","7:00 PM","4"
"Ewa Beach Elementary School","X",NA,NA,NA,NA,NA,NA,"Oahu","9:00 AM","1:00 PM","8"
"Mahiku Farmers' Market at International Market Place-Waikiki",NA,NA,NA,NA,"X",NA,NA,"Oahu","4:00 PM","8:00 PM","4"
"King's Village Shopping Center",NA,NA,NA,NA,NA,"X",NA,"Oahu","4:00 PM","9:00 PM","5"
"Lipoa Street Farmers' Market",NA,NA,NA,NA,NA,NA,"X","Maui","8:00 AM","12:00 PM","4"
"Kalihi Farmers' Market at Kapalama Elementary School","X",NA,NA,NA,NA,NA,NA,"Oahu","7:00 AM","1:00 PM","6"
"The Saturday Farmers' Market at Kapiolani Community College Campus",NA,NA,NA,NA,NA,NA,"X","Oahu","7:30 AM","11:00 AM","3.5"
"Hali'imaile Farmers' Market at Hali'imaile Town Center",NA,NA,NA,NA,NA,"X",NA,"Maui","1:00 PM","6:00 PM","5"
"Makiki District Park (People's Open Market)",NA,"X",NA,NA,NA,NA,NA,"Oahu","8:30 AM","9:30 AM","1"
"The Kailua Thursday Night Farmers Market",NA,NA,NA,NA,"X",NA,NA,"Oahu","5:00 PM","7:30 PM","2.5"
"Waialua Farmers' Market",NA,NA,NA,NA,NA,NA,"X","Oahu","8:30 AM","12:00 PM","3.5"
"Nuuanu Farmers Market at Honolulu Central Seventh Day Adventist Church",NA,NA,"X",NA,NA,NA,NA,"Oahu","4:00 PM","7:00 PM","3"
"The Mililani Sunday Farmers' Market at Mililani High School","X",NA,NA,NA,NA,NA,NA,"Oahu","8:00 AM","12:00 PM","4"
"Upcountry Farmers' Market at Pukalani Longs Drugs at Kulamalu",NA,NA,NA,NA,NA,NA,"X","Maui","7:00 AM","12:00 PM","5"
"Mililani District Park (People's Open Market)",NA,NA,"X",NA,NA,NA,NA,"Oahu","11:45 AM","12:30 PM","0.75"
"Manoa Marketplace","X",NA,"X",NA,"X",NA,NA,"Oahu","7:00 AM","11:00 AM","4"
"Maui Open Market, Maui Tropical Plantation",NA,NA,"X","X","X","X","X","Maui","","",""
"Banyan Court Mall (People's Open Market)",NA,NA,NA,NA,NA,NA,"X","Oahu","6:15 AM","7:30 AM","1.25"
"Old Stadium Park (People's Open Market)",NA,NA,NA,"X",NA,NA,NA,"Oahu","8:15 AM","9:15 AM","1"
"Hawaii Kai Towne Center",NA,"X",NA,"X",NA,NA,"X","Oahu","7:30 AM","3:00 PM","4.5"
"Hana Fresh Market","X","X","X","X","X","X","X","Maui","","",""
"Kinoole Farmer's Market",NA,NA,NA,NA,NA,NA,"X","Hawaii","","",""
"Ala Moana Farmers' Market",NA,NA,NA,NA,NA,NA,"X","","9:00 AM","1:00 PM","8"
"Molokai Saturday Market",NA,NA,NA,NA,NA,NA,"X","Molokai","","",""
"Waiau District Park (People's Open Market)",NA,NA,"X",NA,NA,NA,NA,"Oahu","6:30 AM","7:30 AM","1"
"Hanalei Saturday Market",NA,NA,NA,NA,NA,NA,"X","Kauai","","",""
"Merchant Street Market",NA,NA,"X",NA,NA,NA,NA,"Oahu","10:00 AM","1:00 PM","9"
"Mother Waldron Park (People's Open Market)",NA,"X",NA,NA,NA,NA,NA,"Oahu","10:15 AM","11:00 AM","0.75"
"Wahiawa District Park (People's Open Market)",NA,NA,"X",NA,NA,NA,NA,"Oahu","10:00 AM","11:00 AM","1"
"Paias One Love Farmers Market","X","X","X","X","X","X","X","Maui","10:00 AM","4:00 PM","6"
"International Market Place ",NA,NA,NA,NA,"X",NA,NA,"Oahu","4:00 PM","8:00 PM","4"
"Queen Kapiolani Park (People's Open Market)",NA,NA,NA,"X",NA,NA,NA,"Oahu","10:00 AM","11:00 AM","1"
"Kapolei Community Park (People's Open Market)","X",NA,NA,NA,NA,NA,NA,"Oahu","7:00 AM","8:30 AM","1.5"
"Ward Center",NA,NA,"X",NA,NA,NA,NA,"Oahu","8:00 AM","1:00 PM","7"
"Makiki Local Grown Farmers' Market at St. Clement's Church",NA,NA,NA,NA,"X",NA,NA,"Oahu","4:30 PM","7:30 PM","3"
"Waimanalo Beach Park (People's Open Market)",NA,NA,NA,NA,"X",NA,NA,"Oahu","7:15 AM","8:15 AM","1"
"Windward Mall",NA,NA,NA,"X",NA,NA,NA,"Oahu","3:00 PM","8:00 PM","5"
"Farmers' Market of Maui-Honokowai",NA,"X",NA,"X",NA,"X",NA,"Maui","7:00 AM","11:00 AM","4"
"Manoa Valley District Park (People's Open Market)",NA,"X",NA,NA,NA,NA,NA,"Oahu","6:45 AM","7:45 AM","1"
"Palolo Valley District Park (People's Open Market)",NA,NA,NA,"X",NA,NA,NA,"Oahu","6:30 AM","7:30 AM","1"
"Waikele Community Park (People's Open Market)","X",NA,NA,NA,NA,NA,NA,"Oahu","11:30 AM","12:30 PM","1"
